Circle Number,R,G,B,X,Y,Z,L,a*,b*,H,S,V,Delta E,Grayscale,Column Index,Experiment
2,90.957277486911,105.52795811518325,54.947434554973825,0.10104031771382863,0.12708330910315377,0.05527737763472624,42.320444785504485,-14.52284047441918,26.49668492266303,77.2841397471038,47.9309222537984,41.383512986346375,19.706718508031468,95.39604919371727,1,1
3,81.07036649214659,103.37151832460734,60.19560209424084,0.09107304962425285,0.11855162675951346,0.06109698830601268,40.98499245840767,-16.826123291000638,21.681528494667024,90.99109936216139,41.76771022631731,40.53785032337542,22.856953583797157,91.77331243979057,2,1
4,59.01717277486911,101.37403141361257,69.8469109947644,0.07594947704778154,0.10750299130697408,0.07442680208352978,39.1566869849522,-22.384132246493575,13.322886233340059,135.34071019609007,41.782750521112014,39.75452212298532,28.492073894564236,85.1093372356021,3,1
5,51.29130890052356,104.1503664921466,76.80272251308901,0.07677423171497998,0.11174761897295481,0.08735656163468307,39.8732690579165,-24.69610255027055,10.073415896782834,148.9578529488673,50.75263714564926,40.84328097731239,29.890353195320742,85.2227477277487,4,1
7,79.79139880292618,100.65927732210153,57.02970516515185,0.08650488787218885,0.11233302729083626,0.055864818910391766,39.97066628752065,-16.34529725860151,22.183932341946054,88.69779943398046,43.34381620616904,39.47422640082413,20.08350058240088,89.43803127909554,1,2
8,68.07455497382199,98.47267015706807,60.2165445026178,0.07622237925164335,0.10383968441486746,0.059068589575025,38.522920308527254,-19.394743051867614,18.293479336743058,107.67568277742195,38.84948543939159,38.61673339492865,23.3555883099609,85.01562793717277,2,2
9,45.78718687652405,97.34515628463755,74.24739525604079,0.0666762671224596,0.09686430956241547,0.08039319411865198,37.273666171641324,-23.415701436964614,7.947071566642228,153.12024353120245,52.96408303804848,38.17457109201472,28.89202238125635,79.29159995566393,3,2
10,26.19455497382199,95.52628272251309,76.7365445026178,0.059003573250166516,0.09033185631521763,0.08403694345401677,36.04811045408987,-26.36743820245205,4.585102020668897,163.739273060089,72.5786932901885,37.461287342161995,31.32635554917152,72.651446513089,4,2
12,78.96009753934825,97.90888938151186,50.72179117712259,0.08171660754497356,0.10615351944742973,0.04717719993949764,38.92492278540492,-16.066542110694776,24.452289830795003,84.09403319537162,48.194907022711675,38.39564289471053,18.294479664780457,86.85597541565063,1,3
13,64.63467080469962,94.39636444247395,54.658168920416756,0.06875116757544783,0.09459788745778244,0.050345692058070886,36.85488536063291,-19.49338361435149,19.344602519699073,104.93665590012216,42.09716736101001,37.018182134303515,22.392129380504105,80.96100028818444,2,3
14,48.76104712041885,93.957277486911,63.16335078534031,0.061554019927806125,0.09005126035832262,0.06139434591930128,35.99416257059572,-23.322495226849732,12.952631392575743,139.11969677311734,48.10295868011751,36.845991171337644,26.342967284196085,76.92822085863874,3,3
15,21.881844380403457,98.86632675681668,77.32365329195301,0.06127758195950857,0.09607287438306773,0.08611231658505925,37.128177399463354,-28.51152308056487,5.752000398714873,163.21011757185187,77.86724246949456,38.771108532084966,29.985386651930316,73.38991356683663,4,3
17,75.59255154067834,96.19906894258479,49.26113943693194,0.0770911129707054,0.10145822208012145,0.044862949129598685,38.102882622299326,-16.768170407251787,24.202913611821575,86.34097961149917,48.792498744106524,37.725125075523444,19.635429089027138,84.67923702061627,1,4
18,59.7951673686544,92.95211704721791,53.9459099977832,0.06425623039684171,0.09040135742425809,0.04889012383518035,36.06145559501051,-20.716309200058706,18.675195025016254,111.00257449263172,41.96376402015707,36.45181060675212,24.010155700817016,78.58550197295499,2,4
19,47.53214659685864,97.30994764397906,65.47057591623037,0.06467733268985809,0.09610477779324984,0.06585942895906477,37.134057597046606,-24.895609933145934,13.102074868846604,141.6222038041306,51.15386684744596,38.160763781952575,27.052153146434808,78.79194353926701,3,4
20,14.30342577487765,89.63621533442088,68.86250291307388,0.04880723904512345,0.07774278282901959,0.06850074722931258,33.50830031155739,-27.5523902163258,5.814959068459125,163.45444589841392,84.0428048847071,35.15145699389054,31.44405339110127,64.7420776975064,4,4
