Experiment,Feature,LOD (g/dL)
1,B,8.287833296491009
2,B,8.287833296491009
3,B,8.287833296491009
4,B,8.287833296491009
1,Delta E,0.0
2,Delta E,0.0
3,Delta E,0.0
4,Delta E,0.0
1,G,55.960313205566266
2,G,55.960313205566266
3,G,55.960313205566266
4,G,55.960313205566266
1,Grayscale,10.749524741210829
2,Grayscale,10.749524741210829
3,Grayscale,10.749524741210829
4,Grayscale,10.749524741210829
1,H,0.1720226550491567
2,H,0.1720226550491567
3,H,0.1720226550491567
4,H,0.1720226550491567
1,L,19.389267868675738
2,L,19.389267868675738
3,L,19.389267868675738
4,L,19.389267868675738
1,R,3.181181053014625
2,R,3.181181053014625
3,R,3.181181053014625
4,R,3.181181053014625
1,S,4.282045780027312
2,S,4.282045780027312
3,S,4.282045780027312
4,S,4.282045780027312
1,V,63.29100070756773
2,V,63.29100070756773
3,V,63.29100070756773
4,V,63.29100070756773
1,X,20.617001188797673
2,X,20.617001188797673
3,X,20.617001188797673
4,X,20.617001188797673
1,Y,30.837009619396234
2,Y,30.837009619396234
3,Y,30.837009619396234
4,Y,30.837009619396234
1,Z,7.253762861335904
2,Z,7.253762861335904
3,Z,7.253762861335904
4,Z,7.253762861335904
1,a*,0.7918133160036281
2,a*,0.7918133160036281
3,a*,0.7918133160036281
4,a*,0.7918133160036281
1,b*,1.086343044431158
2,b*,1.086343044431158
3,b*,1.086343044431158
4,b*,1.086343044431158
